,word,count
0,உடலுக்குள்ளே,1
1,ஓடைநீரை,1
2,ஓடையைத்,1
3,அதிகாலையில்,1
4,செய்தி,1
5,கொள்ளச்செய்தனர்.,1
6,அதுவரையிலான,1
7,அவளுடன்,1
8,கோரினாள்.,1
9,நான்காம்,1
10,அந்தக்கணத்திலிருந்து,1
11,என்றன.,1
12,நீந்துவதுபோலச்,1
13,நெளிந்துகொண்டிருந்த,1
14,அவன்கூட,1
15,மகாசர்ப்பசத்ர,1
16,நின்றது.,1
17,என்றது,1
18,வங்கத்திலும்,1
19,"காகங்களும்,",1
20,வடித்தபடி,1
21,”அவர்,1
22,சடலங்கள்மீதும்,1
23,வைத்துவிட்டு,1
24,"கிருபர்,",1
25,திகைத்தவராக,1
26,என்ன?,1
27,தொலைவுள்ள,1
28,ஆயுள்,1
29,திரும்பிப்பார்க்கவேயில்லை,1
30,"தாண்டி,உத்தங்கரின்",1
31,கட்டுப்படுத்தினர்.,1
32,பேசமுடியவில்லை.,1
33,வேள்விகளால்,1
34,தீமையே,1
35,அதர்வவேத,1
36,"முட்டியும்,",1
37,ஆசியளித்திருக்கவேண்டும்.,1
38,விழுந்தன.,1
39,“ஆம்,1
40,“தர்மத்தை,1
41,பாரதவர்ஷமெங்கும்,1
42,மணல்வெளியின்,1
43,பாடல்கள்,1
44,மரணத்தை,1
45,தசை,1
46,குழந்தைபோல,1
47,நிறுத்திவிட்டு,1
48,என்கடமை,1
49,இருட்டை….தீமையை”,1
50,முத்தாகி,1
51,உருவாகியது.,1
52,வல்லமையாக,1
53,மாயாவடிவமெடுத்து,1
54,என்னிடம்,1
55,வளர்த்தேன்.,1
56,நகரும்,1
57,பந்தல்களைத்,1
58,கார்மிகர்கள்,1
59,வெல்வதற்கு,1
60,வேட்டையில்,1
61,இறக்கினான்.,1
62,நெருங்கி,1
63,உடைமைகளனைத்தையும்,1
64,கொண்டுவந்திருந்த,1
65,சிறியவாலை,1
66,அழைத்துச்சென்று,1
67,“நாம்,1
68,ஆகுதிகள்,1
69,விலகிச்செல்வதையே,1
70,மனம்சோர்ந்து,1
71,பைலர்.,1
72,தாடியாகவும்,1
73,கட்டைவிரலை,1
74,வேண்டியது,1
75,முதற்பெரும்,1
76,உணர,1
77,வழிதவறி,1
78,மைந்தனும்,1
79,வட்டமாக,1
80,வேண்டிய,1
81,இதயத்துடிப்புகள்,1
82,உண்டும்,1
83,துடுக்கு,1
84,அச்சத்துடன்,1
85,தேடிவந்த,1
86,தொடுகையில்,1
87,காரணமாகக்,1
88,ஒன்றே,1
89,சலித்து,1
90,அங்கீகரித்துவிட்டான்!,1
91,காணிக்கையாகக்,1
92,மானுடத்தின்,1
93,தங்களவர்,1
94,"சினத்தால்,",1
95,அஸிக்னிக்கும்,1
96,முட்டையை,1
97,காட்டுக்குச்,1
98,சொன்னேன்.,1
99,வாழ்கிறோம்’,1
100,குடியிருக்கிறது.,1
101,கண்ணெட்டும்,1
102,நாளிலேயே,1
103,குடில்கள்,1
104,அசையும்,1
105,மூங்கில்செறிவுக்கு,1
106,மீண்டுவந்தான்.,1
107,வயிற்றை,1
108,வெம்மை,1
109,காடுகளின்,1
110,உலகத்தைப்பார்த்தபோதுதான்,1
111,திராவிடச்சேர,1
112,அழுக்குகள்,1
113,அடைக்கலம்,1
114,இலக்கு.,1
115,முடிவடையக்கூடாது,1
116,கொண்டுவரச்சொன்னார்.,1
117,நூல்களையெல்லாம்,1
118,வலதுகையின்,1
119,நன்றாக,1
120,முதிர்ந்து,1
121,சந்திரர்களுமாக,1
122,வேள்விச்சாலை,1
123,மங்கல,1
124,இதன்,1
125,இருக்கிறேன்’,1
126,வேள்விப்பொருளாக,1
127,மாமன்னர்கள்,1
128,சண்டபார்க்கவரும்,1
129,துளியிருள்,1
130,முழுமையாகவேண்டும்.,1
131,சொல்லட்டும்…இந்த,1
132,அவருடலில்,1
133,கண்டடைந்தார்.,1
134,பொழிந்துகொண்டிருந்த,1
135,செறிந்த,1
136,அறமும்,1
137,இறுகியபின்,1
138,புகுந்துகொண்டது.,1
139,ஆடைநுனியை,1
140,செம்மண்குன்று,1
141,கண்டபடி,1
142,காணிக்கைகளைக்,1
143,நிகழும்,1
144,தவித்தபடி,1
145,குறுங்காட்டைத்,1
146,ஐம்பத்தாறுநாட்டு,1
147,வந்தேன்’,1
148,பட்டாடையைப்போட்டு,1
149,கடும்,1
150,கவனித்தபடி,1
151,போர்த்தியிருந்தனர்.,1
152,மேலேறியது.,1
153,நெருங்கிவந்து,1
154,எரிந்தழிக,1
155,சொன்ன,1
156,நீரைத்,1
157,மன்னரே!,1
158,அவரைக்,1
159,வெளியில்,1
160,வெங்காற்றிலும்,1
161,கையிலெடுத்து,1
162,கண்மூடி,1
163,ஆதித்யனாகவும்,1
164,வீரியமே,1
165,சொற்களாக,1
166,மணியும்,1
167,தோண்டி,1
168,பாட்டிவழி,1
169,குலவரலாறு,1
170,மோதிச்,1
171,சூரியன்,1
172,இருந்தாலும்,1
173,உறங்கும்,1
174,புரிந்துகொள்வார்கள்…,1
175,அணுகியதும்,1
176,கொடுத்தான்.,1
177,அறிந்தேன்.,1
178,மாமன்னரே!,1
179,அதுமட்டும்தான்,1
180,ஒளிவிடும்,1
181,நாகத்திலிருந்து,1
182,நடந்தபோது,1
183,வண்டிகளில்,1
184,வட்டவடிவமான,1
185,நீலநிறத்தலைப்பாகை,1
186,மனைவி,1
187,லதாமண்டபத்தில்,1
188,தோற்றுவிடுவார்கள்’,1
189,ஆலோசனை,1
190,களத்தில்பட்ட,1
191,யமுனைநதிக்கரையில்,1
192,தாவி,1
193,அவனைப்போன்றே,1
194,"“ஆஸ்திகரே,",1
195,சாபம்,1
196,சுழன்றன.,1
197,எந்தக்,1
198,ஓங்காரமெழுப்பி,1
199,மரத்தில்,1
200,"விபீஷணன்,",1
201,ஒருகாலத்தில்,1
202,கண்களாக,1
203,மகளாக,1
204,எனக்கும்,1
205,உயரமான,1
206,"கூரைக்குவை,",1
207,மலர்வீசி,1
208,பகடைகளை,1
209,விதியைச்,1
210,அன்றே,1
211,வழிசொன்னார்.,1
212,என்னால்,1
213,அன்று.ஆடிமாதம்,1
214,ஆன்ம,1
215,பதற்றத்துடன்,1
216,இதற்காகத்தான்.,1
217,அமைதியான,1
218,இல்லை”,1
219,மடலை,1
220,உள்ளது”,1
221,"பிதாமகர்,",1
222,முழுமை.,1
223,வானத்திலிருந்த,1
224,பிரிந்தன.,1
225,நாகர்குல,1
226,மாயைகள்,1
227,கதவை,1
228,சிற்றமைச்சனிடம்,1
229,துப்பியபடி,1
230,தலைச்சுமையாக,1
231,இந்திரப்பிரஸ்தத்தின்,1
232,ஆவேன்.,1
233,சூடி,1
234,அளிக்கப்பட்டிருக்கின்றன.,1
235,எத்தனை,1
236,ஏறிக்கொண்டன.,1
237,அறிந்தனர்.,1
238,வேள்விப்பீடத்தில்,1
239,நோக்கித்திரும்பியது.,1
240,நடுங்கிக்கொண்டிருப்பதைக்,1
241,மெத்தையும்,1
242,கம்பளத்தோடு,1
243,இருக்கிறீர்களா?”,1
244,அங்கு,1
245,சிவனை,1
246,அமர்ந்துகொண்டான்.,1
247,கவச,1
248,விருந்தினருக்கான,1
249,‘நினைத்தேன்.,1
250,அசைவில்லாமல்,1
251,"சுருதசேனன்,",1
252,அதிர்ந்தான்.,1
253,வழியில்லை,1
254,அகங்காரமுமாக,1
255,உபவேள்விகள்,1
256,துழாவியும்,1
257,கொண்டுவா,1
258,அதற்கு,1
259,புரியாதவை,1
260,ஒன்றாகிவிட்டதாக,1
261,நெளித்து,1
262,விரைத்து,1
263,பாடினார்கள்.,1
264,செய்தியைக்,1
265,"“அரசே,",1
266,குருஷேத்ரமாகியது”,1
267,வானகங்கள்,1
268,நான்’,1
269,தலைகளில்,1
270,ஆலமரத்தின்,1
271,உருவானார்கள்.,1
272,நாகபடம்,1
273,‘முழுமைநிலையன்றி,1
274,மலைத்தேனை,1
275,பல்லியமும்,1
276,தாடியும்,1
277,வேலுடன்,1
278,சேரும்போது,1
279,உயிர்விடுவாய்’,1
280,நாட்டை,1
281,பூச்சிகளே,1
282,செல்வம்,1
283,தொலைதூர,1
284,கனிவை,1
285,எரித்தழிப்பது,1
286,ஹோதாவான,1
287,அவருடன்,1
288,சக்தியை,1
289,வில்லென,1
290,அவர்களனைவரும்,1
291,மூடிய,1
292,நீங்கள்தான்,1
293,கண்ணயர்ந்துவிட்டேன்.,1
294,உனக்களித்த,1
295,ஆலமரங்கள்,1
296,வளைவுக்குமேல்,1
297,வேள்விக்குளத்தின்,1
298,எழுந்தருள்கிறார்!”,1
299,அதிர்ச்சியுடன்,1
300,புதைகுழியிலிருந்து,1
301,திரௌபதி,1
302,ஒன்றைச்சேர்ந்த,1
303,‘என்,1
304,வளர்பிறை,1
305,திமிறி,1
306,கழுத்தை,1
307,நிழல்களெல்லாம்,1
308,எழும்,1
309,நில்லுங்கள்,1
310,செய்தான்.,1
311,கிருஷ்ணபட்ச,1
312,மீன்மணம்,1
313,ஒவ்வொன்றாக,1
314,இப்பூமி,1
315,"வாழ்த்த,",1
316,ஒருநாளும்,1
317,மீளமுடியாத,1
318,சாளரங்கள்,1
319,எழுப்பப்பட்ட,1
320,முடிக்காமல்,1
321,முடிந்தாகவேண்டும்…கட்டிவாருங்கள்,1
322,தீண்டிய,1
323,மிச்சமில்லை.,1
324,முனிவர்களாலும்,1
325,குருவாக,1
326,மண்பரப்பின்,1
327,சுருங்கிய,1
328,கபிலரின்,1
329,அவற்றில்,1
330,எண்ணி,1
331,கொடு.,1
332,மாறிக்கொண்டே,1
333,நகரமெங்கும்,1
334,ஓலைகளைமுடைந்து,1
335,போர்க்களத்தில்,1
336,விதவைக்கோலம்,1
337,வழித்தோன்றல்களும்,1
338,சொல்லுங்கள்’,1
339,குருவம்சத்தினருக்கும்,1
340,முழுமையாகி,1
341,நின்றிருந்த,1
342,எனும்,1
343,இல்லாமல்தான்,1
344,காலத்துக்கும்,1
345,அறுவருடன்,1
346,"நின்று,",1
347,”யாயாவர,1
348,உரக்கச்சிரித்தபடி,1
349,முழுமையான,1
350,போக்கும்படி,1
351,நரிகளின்,1
352,நிலையற்று,1
353,அண்டமுடியாது’,1
354,வைத்தபடி,1
355,வேள்விக்காவலனாகிய,1
356,உனக்கென,1
357,வருகிறார்..”,1
358,நேரடி,1
359,உணர்ந்தபடி,1
360,முளைத்தன.,1
361,மைந்தர்களுக்காக,1
362,பாத்திரத்தின்,1
363,இனிய,1
364,திரும்பிப்பாராமலேயே,1
365,வந்துசேரும்’,1
366,கண்விழித்தெழுந்து,1
367,தகிக்கும்,1
368,கட்டியிலிருந்து,1
369,இலைப்பரப்புகளுக்குமேல்,1
370,திறக்கப்பட்டிருக்கவுமில்லை.,1
371,வேள்விமங்கலம்,1
372,கட்டில்,1
373,மீன்களும்,1
374,ஒத்திசைவை,1
375,கைநீட்டித்தடுத்து,1
376,இல்லை…அது,1
377,தங்க,1
378,கடல்களின்,1
379,சொற்களுக்கு,1
380,திரும்பிப்பார்த்தபோது,1
381,பிளவற்ற,1
382,புரிந்துகொள்ளமுடியாது”,1
383,படம்விரித்தன.,1
384,சீரானதாக,1
385,அஸிக்னியோ,1
386,கடுந்தவம்,1
387,அந்தப்பாதையின்,1
388,கலைந்து,1
389,கோட்டைவாசலை,1
390,பசும்புற்கள்,1
